	442	438	446	426	434	430
NM_018729_1_+_1	7.967	7.834	7.677	6.869	7.004	7.146
NM_144539_1_-_1	8.718	8.816	8.841	7.866	8.135	8.22
NM_011063_1_-_1	6.054	5.977	5.997	7.079	6.897	6.949
NM_080419_1_+_1	3.824	3.638	3.741	5.455	5.464	5.234
NM_029084_1_-_1	7.535	7.384	7.589	6.433	6.601	6.446
NM_053199_1_-_1	4.839	4.47	4.926	3.137	3.078	2.913
NM_001013779_1_+_1	6.192	6.117	6.105	5.395	5.208	5.872
NM_001024721_1_-_1	-1.2	-1.089	-0.951	0.817	1.158	-0.091
NM_001177349_1_-_1	1.662	2.448	2.731	-4.476	-4.475	-4.912
NM_001177350_1_-_1	4.888	5.515	5.234	-2.623	-3.359	-4.912
NM_175026_1_+_1	7.466	7.556	6.953	6.133	5.937	6.06
NM_001162938_1_+_1	1.226	1.986	2.866	0.421	0.396	-0.594
NM_001204910_1_-_1	5.609	5.806	5.637	3.497	4.265	3.258
NM_008329_1_-_1	2.928	4.176	3.262	4.604	4.335	4.688
NM_001170853_1_-_1	7.097	7.218	6.923	7.744	7.713	7.998
NM_008327_1_-_1	-4.912	-4.912	-4.912	0.398	2.148	0.896
NM_172648_1_-_1	-2.204	1.296	3.016	6.253	6.007	6.676
NM_146717_1_+_1	0.822	2.354	1.057	5.079	5.3	5.345
NM_146716_1_+_1	-4.912	-4.912	-4.912	-1.471	0.343	0.247
NM_011465_1_+_1	-0.162	1.818	-0.531	3.608	4.422	1.88
NR_037996_1_-_1	3.842	4.72	5.104	5.223	5.45	5.422
NM_012058_1_+_1	7.481	7.572	7.693	6.278	6.253	6.459
NM_146106_1_-_1	1.118	-2.442	-4.912	4.344	4.103	3.823
NM_026796_1_-_1	3.652	3.682	4.365	4.904	4.84	4.916
NM_198654_1_+_1	3.789	3.827	3.407	3.22	2.699	2.902
NM_178632_1_+_1	4.453	4.116	4.566	3.622	3.416	4.015
NM_010892_1_+_1	3.832	3.535	3.229	2.451	1.781	2.072
NM_007758_1_-_1	2.192	2.159	2.065	5.223	4.995	5.013
NM_025343_10_-_1	4.983	5.137	5.114	1.978	2.155	2.973
NM_177387_10_-_1	2.636	1.881	2.427	0.068	0.928	-1.268
NM_175155_10_-_1	5.207	5.405	5.392	6.043	6.352	6.501
NM_026405_10_-_1	6.399	6.644	6.354	6.111	6.216	5.909
NR_033630_10_+_1	-4.912	-4.912	-4.912	-1.731	-1.973	-0.013
NM_008635_10_+_1	3.01	3.827	3.201	-1.121	-2.811	-1.408
NM_001198635_10_+_1	1.31	2.067	1.476	-2.797	-3.604	-2.7
NR_028580_10_+_1	2.21	1.686	2.158	-4.912	-1.51	-4.912
NM_011979_10_+_1	1.197	1.378	0.803	-4.912	-4.912	-4.912
NM_172508_10_-_1	3.566	3.823	3.184	2.748	2.852	2.198
NM_009846_10_+_1	5.746	6.138	5.834	8.022	8.562	6.863
NM_001163833_10_+_1	1.881	2.808	1.994	3.741	3.413	3.42
NM_201242_10_+_1	6.715	6.57	7.009	7.237	7.398	7.323
NM_175329_10_+_1	1.118	2.184	2.759	5.211	5.423	4.178
NM_001243067_dup1_10_+_2	3.629	3.102	3.378	-1.437	-4.912	-4.91
NM_001135567_10_-_1	3.955	4.824	4.368	2.007	2.619	3.553
NR_037190_10_+_1	3.803	3.662	4.005	1.432	2.639	2.886
NM_029166_10_+_1	5.864	5.858	5.691	5.342	5.25	5.46
NM_010401_10_+_1	-4.912	-4.912	-4.912	1.5	1.922	1.728
NM_027908_10_-_1	0.133	-0.118	0.884	4.295	4.434	4.676
NM_175488_10_+_1	-1.228	-4.912	-0.508	0.704	1.455	2.136
NR_027478_10_-_1	-2.476	-4.912	-1.855	0.287	-0.654	0.23
NM_001110013_10_-_1	1.514	1.135	1.595	2.685	3.271	2.603
NM_146009_10_+_1	4.601	4.78	4.54	5.483	5.475	5.655
NM_054056_10_+_1	-4.912	-4.912	-1.51	0.068	0.707	-0.594
NM_010441_10_-_1	-2.492	-1.7	-4.912	-0.236	-0.122	0.197
NM_029057_10_-_1	2.732	2.823	2.427	5.108	5.445	5.361
NM_019786_10_-_1	5.795	5.676	5.319	6.166	6.289	6.21
NM_001159559_10_-_1	2.755	3.145	3.292	4.025	4.474	4.15
NM_008382_10_-_1	-4.912	-4.912	-4.912	-3.136	-1.918	-0.517
NM_178149_11_+_1	5.364	5.253	5.289	4.725	4.275	4.384
NM_001037928_11_+_1	-4.912	-4.912	-4.912	1.535	1.382	1.503
NM_011663_11_+_1	3.028	2.519	1.867	5.085	4.917	5.091
NR_102382_11_+_1	3.674	3.03	2.934	-4.912	-1.9	-0.104
NM_026465_11_-_1	5.809	6.05	5.804	6.257	6.502	6.51
NM_133767_11_+_1	4.889	4.799	5.049	3.73	4.119	3.78
NM_025745_11_-_1	3.31	4.446	3.522	4.725	4.865	4.926
NM_008218_11_+_1	7.153	8.983	8.33	12.096	12.934	11.814
NM_001083955_11_+_1	6.696	8.273	7.706	11.291	11.884	10.979
NM_001033981_11_+_1	-0.559	1.241	-1.732	2.799	4.088	1.338
NM_010696_11_+_1	8.121	7.842	7.658	5.935	6.216	6.114
NM_013917_11_-_1	4.224	4.047	4.049	2.56	1.904	2.866
NM_001131054_11_-_1	7.255	7.366	7.499	6.273	6.801	6.603
NM_001080969_11_-_1	2.822	1.783	2.384	4.163	4.399	4.268
NM_134250_11_+_1	7.148	7.137	7.159	7.824	7.947	7.977
NM_178759_11_+_1	1.459	1.783	1.699	0.738	1.064	-0.78
NM_011579_11_-_1	4.547	5.416	5.183	4.107	3.123	4.497
NM_001145164_11_-_1	7.054	7.215	6.814	6.463	6.273	6.54
NM_009331_11_-_1	5.369	4.912	4.612	4.311	4.124	3.933
NM_009242_11_-_1	-2.366	-4.912	-2.305	2.491	-0.762	3.462
NM_001135115_11_+_1	4.114	4.355	3.564	2.763	2.671	3.359
NM_019440_11_+_1	3.853	4.364	3.127	2.918	2.92	2.8
NM_206882_11_-_1	0.229	0.246	0.488	-3.504	-4.912	-4.912
NM_001290988_11_+_1	0.436	0.781	0.996	-4.856	-4.467	-4.046
NR_037964_11_-_1	1.785	2.013	1.745	-3.359	-2.535	-4.912
NM_026035_11_+_1	4.513	4.76	5.178	-2.057	-4.912	-4.912
NR_126101_11_+_1	-1.152	-0.633	0.042	2.253	2.784	1.955
NR_073164_11_-_1	1.666	-0.868	1.218	-4.912	-4.912	-4.912
NM_027817_11_+_1	7.153	6.934	6.931	6.68	6.337	6.319
NM_001281818_11_+_1	5.395	5.539	5.446	3.808	4.388	4.352
NR_002875_11_+_1	9.08	8.454	8.876	10.214	10.066	10.038
NM_011664_11_+_1	12.789	12.191	12.454	11.016	10.831	10.684
NM_011496_11_+_1	5.214	5.275	5.17	4.634	4.747	4.25
NM_001081330_11_-_1	3.203	2.792	3.078	4.073	4.239	4.343
NM_009204_11_-_1	-4.912	-0.4	-4.912	0.23	0.305	-1.268
NM_173742_11_-_1	7.924	8.116	8.108	8.522	8.598	8.721
NM_001136062_11_+_1	6.099	6.516	6.772	7.783	7.518	7.546
NM_007933_11_+_1	7.077	6.512	6.6	7.985	7.955	7.778
NM_001040696_11_-_1	4.253	4.156	4.293	-4.912	-4.772	1.379
NM_001162414_11_-_1	0.276	-0.432	-0.674	1.686	3.053	1.749
NR_027858_11_-_1	2.709	3.186	2.294	-4.912	-4.912	-4.912
NM_001037713_11_+_1	6.768	6.83	6.704	5.825	5.657	6.201
NM_027249_11_+_1	3.3	3.231	3.657	5.04	4.244	4.967
NM_177390_11_-_1	-4.912	-4.912	-4.912	1.378	0.632	-0.039
NM_183201_11_+_1	6.138	6.234	5.777	4.94	5.186	5.76
NM_001167743_11_-_1	4.389	4.253	4.523	3.42	3.472	3.043
NM_011408_11_+_1	8.273	8.407	8.125	7.753	7.587	7.749
NM_172449_11_+_1	2.312	2.774	2.556	0.614	0.632	1.203
NR_131025_11_+_1	-0.162	-2.442	-0.377	-3.504	-4.912	-4.912
NR_003564_11_-_1	-4.912	-4.912	-4.912	1.771	3.413	1.456
NM_009546_11_+_1	5.577	5.661	5.736	5.044	4.66	4.901
NM_019877_11_+_1	1.297	0.386	2.194	4.295	3.862	3.384
NM_030150_11_-_1	5.93	6.071	5.688	5.081	5.085	5.497
NM_008949_11_-_1	4.2	4.825	4.581	5.248	5.381	5.538
NM_011403_11_-_1	0.387	3.375	1.193	5.244	5.963	4.162
NM_001110778_11_+_1	5.845	5.799	5.853	4.564	3.835	5.211
NM_152813_11_-_1	-1.346	1.335	-0.805	-4.912	-4.912	-4.912
NR_045346_11_+_1	1.16	1.653	1.785	3.27	2.926	3.544
NM_029345_11_+_1	-1.346	0.081	-0.058	1.927	2.19	2.702
NM_011943_11_+_1	4.912	4.394	4.457	5.33	5.402	5.41
NR_015556_11_-_1	3.256	3.019	3.92	-4.912	-4.912	-4.912
NM_030206_11_-_1	2.403	2.808	2.556	7.427	7.096	7.435
NM_001163318_11_+_1	0.98	0.887	-0.212	3.757	4.206	3.86
NR_027821_11_+_1	1.547	2.426	1.928	3.499	3.402	3.342
NM_009180_11_-_1	-2.065	1.881	-1.51	7.428	7.249	7.394
NR_003364_11_+_1	-4.912	-4.912	-4.912	9.105	9.21	9.167
NM_011371_11_-_1	-4.912	-4.912	-4.912	3.94	3.55	4.14
NM_026280_11_-_1	-4.912	-0.751	-1.51	3.535	3.258	4.017
NM_028865_11_+_1	6.878	6.992	7.007	5.597	5.376	5.82
NM_001113486_11_+_1	3.302	3.108	3.696	-1.669	-0.482	0.327
NM_029964_11_+_1	1.256	1.575	1.546	2.775	3.514	2.783
NM_011150_11_-_1	6.22	6.185	5.805	5.342	5.043	5.221
NM_172443_11_-_1	3.794	4.15	3.961	4.502	4.766	5.191
NM_008640_12_+_1	7.393	7.424	7.484	7.979	7.797	7.801
NM_001130412_12_-_1	3.322	1.934	2.389	-4.671	-4.037	-3.258
NM_016677_12_+_1	5.664	5.867	5.856	5.186	5.128	4.851
NM_001004364_12_+_1	3.141	2.986	3.282	0.663	0.068	0.322
NR_028341_12_+_1	0.666	2.224	2.812	3.523	4.365	4.673
NM_020614_12_+_1	4.755	5.241	4.95	4.53	4.266	4.158
NM_020557_12_+_1	3.318	2.969	3.229	2.591	2.155	0.824
NM_021524_12_+_1	6.479	6.433	6.376	5.349	5.864	5.418
NR_045032_12_+_1	5.717	5.299	5.286	4.417	3.949	4.155
NM_013464_12_-_1	5.942	6.159	6.718	6.613	7.109	7.178
NM_011899_12_+_1	5.531	5.282	5.82	4.185	4.252	4.16
NM_001100116_12_+_1	5.881	5.971	6.015	4.54	5.117	4.909
NM_028527_12_+_1	5.881	5.971	6.015	4.54	5.117	4.909
NM_001100109_12_+_1	6.337	6.498	6.186	5.967	5.723	6.005
NR_044985_12_+_1	1.914	2.004	2.354	0.104	0.43	1.189
NM_183186_12_-_1	6.14	6.195	6.247	5.49	5.321	5.444
NM_029803_12_-_1	8.488	8.784	8.392	7.105	7.171	7.491
NM_194067_12_+_1	6.48	6.888	6.698	5.008	5.549	6.062
NR_002861_12_+_1	-4.912	-4.912	-4.912	2.125	2.926	2.702
NM_172953_12_+_1	-4.912	-4.912	-4.912	2.199	3.026	1.772
NM_001168295_12_+_1	-1.247	-4.911	0.595	2.937	2.691	3.107
NM_001168294_12_+_1	-4.886	1.386	-1.752	-4.912	-4.912	-4.909
NR_033450_12_+_1	-4.912	-4.912	-4.912	-1.717	-1.313	-0.13
NM_028419_12_+_1	6.631	6.847	7.098	7.574	8.03	7.293
NR_027652_12_+_1	-4.912	-4.912	-4.912	0.206	0.066	-0.678
NM_021273_12_-_1	8.67	8.486	8.409	4.538	4.364	4.384
NM_175930_12_+_1	-2.606	-0.4	-0.212	1.535	1.431	2.348
NM_018859_13_-_1	4.252	3.898	4.994	1.771	0.707	2.29
NM_019703_13_-_1	4.571	4.749	4.355	4.179	3.835	3.504
NM_027000_13_-_1	7.407	7.066	7.054	6.744	6.772	6.759
NM_001195421_13_+_1	3.356	3.558	3.712	-0.666	1.342	1.284
NM_175657_13_+_1	-4.912	-4.912	-4.851	2.435	1.868	0.766
NM_001111107_13_-_1	1.65	2.542	3.644	-4.836	-4.608	-2.768
NM_178187_13_-_1	4.97	5.083	5.741	3.285	3.478	3.021
NM_178188_13_+_1	1.968	2.19	2.044	3.13	3.175	2.852
NM_175654_13_+_1	5.563	5.809	6.026	1.844	2.197	2.416
NM_001290530_13_-_1	0.754	-0.298	1.452	-4.126	-0.84	-4.912
NM_023422_13_+_1	5.877	6.223	6.49	5.335	5.284	4.943
NM_178208_13_-_1	3.749	3.643	3.776	2.595	2.903	2.146
NM_175653_13_-_1	0.075	1.443	0.959	-2.369	-1.54	-1.106
NM_178193_13_+_1	1.399	1.992	2.046	-0.523	-0.769	-0.336
NM_026825_13_-_1	4.682	4.455	4.525	3.381	4.184	4.14
NM_001111110_13_+_1	-4.356	-3.616	-3.751	3.049	2.513	4.553
NM_001284519_13_+_1	-4.697	-4.085	-4.159	-2.024	-2.309	-0.384
NM_007717_13_+_1	-2.908	1.178	-1.687	5.155	5.515	4.76
NM_178658_13_+_1	3.928	3.94	4.081	4.714	4.822	5.022
NM_025790_13_-_1	5.896	6.183	6.174	5.141	5.173	5.198
NM_177322_13_+_1	-4.912	-4.912	-4.912	1.333	0.786	-0.444
NM_025429_13_-_1	4.2	3.76	4.349	6.286	6.233	5.529
NM_025387_13_+_1	8.14	8.214	8.286	2.55	3.753	3.433
NM_016785_13_-_1	2.001	2.227	1.509	4.187	3.434	4.079
NM_011817_13_+_1	7.856	7.659	7.932	8.956	8.486	8.67
NM_001198977_13_+_1	6.557	6.516	6.384	7.422	7.521	7.397
NM_178605_13_-_1	6.765	6.874	7.071	7.762	7.525	7.651
NM_026921_13_-_1	5.57	5.753	5.922	6.429	6.779	6.083
NM_029653_13_+_1	1.828	1.41	1.148	3.214	3.278	3.274
NM_175494_13_-_1	3.989	3.624	3.991	2.732	2.493	2.947
NM_183146_13_-_1	3.458	3.304	3.191	4.995	4.925	5.395
NM_053108_13_+_1	7.794	7.69	7.625	7.351	7.364	7.284
NM_001081352_13_+_1	3.043	3.186	3.009	5.155	4.826	4.857
NR_028109_13_+_1	2.477	1.924	0.697	-4.912	-4.912	-4.912
NM_008634_13_-_1	-4.912	-4.912	-2.066	0.48	0.928	0.267
NM_010870_13_-_1	4.962	4.671	4.655	3.901	4.326	4.363
NM_029898_13_+_1	3.159	3.622	3.799	0.942	-0.118	-0.09
NM_010560_13_+_1	6.357	6.371	6.275	5.715	5.738	5.934
NM_001308506_13_-_1	4.114	4.043	3.813	4.611	4.569	4.941
NM_001177715_14_+_1	-4.912	-4.912	-4.912	1.871	2.526	3.024
NR_033388_14_+_1	-2.065	-4.912	-0.506	0.983	1.399	1.891
NM_001309398_14_+_1	-4.912	-4.912	-4.912	0.023	1.077	0.737
NM_001242945_14_+_1	-4.912	-4.912	-4.912	-0.386	-1.085	-1.736
NM_175393_14_+_1	-4.912	-1.167	-4.912	-0.091	-0.615	1.155
NM_001242941_dup1_14_+_2	-4.912	-4.912	-4.912	-2.224	-1.229	-0.841
NM_001256885_dup1_14_+_2	-4.912	-4.912	-4.912	-2.224	-1.229	-0.841
NM_001256886_dup1_14_-_2	-4.912	-4.912	-4.912	0.977	-3.413	1.707
NM_001270812_14_-_1	-4.912	-4.912	-4.912	3.266	3.323	3.363
NM_001309401_14_-_1	-4.912	-1.821	-4.912	2.327	1.766	1.859
NM_001164727_14_-_1	-4.912	-4.897	-4.912	0.097	-0.317	-1.832
NM_001270842_14_-_1	-4.912	-4.912	-4.912	1.04	1.089	1.853
NM_007870_14_-_1	8.484	8.44	8.576	9.221	9.296	9.242
NM_145458_14_+_1	5.562	5.612	5.275	5.083	4.851	4.599
NM_146050_14_-_1	0.527	-0.009	1.912	4.317	4.538	3.568
NM_001206684_14_-_1	3.105	4.267	4.606	5.46	5.533	6.199
NR_073362_14_-_1	-4.912	-4.912	-4.912	0.707	1.456	1.12
NR_105055_14_-_1	-4.912	-4.912	-4.912	0.772	1.2	2.118
NM_007894_14_-_1	-4.912	-4.912	-4.912	0.921	1.371	1.85
NM_007895_14_+_1	7.665	7.753	7.629	5.246	5.787	5.977
NR_002875_14_+_1	8.908	8.192	8.69	11.325	11.203	11.291
NM_008102_14_-_1	6.093	6.647	6.512	7.333	7.337	7.235
NM_013632_14_+_1	6.985	7.035	7.196	6.624	6.671	6.449
NM_001123371_14_+_1	2.957	2.972	3.032	-1.139	-1.487	-1.696
NM_030098_14_+_1	8.457	8.732	8.586	9.095	9.123	9.346
NM_134076_14_+_1	5.087	4.8	4.581	6.038	5.769	5.852
NM_145462_14_-_1	5.515	5.387	5.567	5.072	4.733	4.716
NM_011186_14_-_1	8.065	8.145	8.397	7.443	7.554	7.673
NM_001159418_14_+_1	6.269	6.425	5.587	5.182	5.45	5.19
NR_002889_14_-_1	-4.912	-2.143	-1.764	2.876	3.283	2.872
NM_001164327_14_-_1	8.048	7.969	8.119	7.376	7.436	7.683
NM_199015_14_-_1	6.062	6.252	6.045	5.03	5.137	5.375
NM_001164289_14_-_1	6.239	6.136	6.059	4.849	4.904	5.11
NM_001034910_14_+_1	2.469	2.896	3.319	4.231	4.32	4.531
NM_007549_14_-_1	3.723	3.801	4.265	5.647	5.152	5.082
NM_007940_14_-_1	1.815	1.241	0.865	2.309	3.45	2.737
NM_009955_14_-_1	4.581	4.871	5.005	4.19	3.822	3.64
NM_021475_14_-_1	3.366	2.792	3.486	6.189	6.606	6.141
NM_026331_14_-_1	5.131	5.283	5.262	5.971	6.171	5.803
NM_008915_14_-_1	2.535	2.269	2.595	4.073	4.037	4.221
NM_175116_14_+_1	5.653	5.679	5.407	6.435	6.391	6.362
NM_001247984_14_+_1	6.913	6.953	6.907	5.769	5.965	6.811
NM_022886_14_+_1	4.219	3.451	2.896	5.141	5.702	5.584
NR_045274_15_+_1	3.768	3.638	3.709	4.328	4.761	5.317
NM_008372_15_-_1	3.652	3.604	2.716	4.63	4.973	4.768
NM_011767_15_+_1	6.499	6.817	7.112	6.14	5.947	6.304
NR_028101_15_-_1	9.157	9.257	9.263	7.748	8.056	8.471
NM_008287_15_-_1	3.661	4.28	3.821	5.157	5.237	5.245
NM_023127_15_+_1	6.465	6.942	6.623	4.492	4.648	5.147
NM_027212_15_+_1	7.721	7.884	7.845	7.003	7.211	7.247
NM_178920_15_+_1	-4.912	-0.936	-4.912	0.955	1.479	-0.161
NM_008681_15_-_1	3.436	3.847	2.645	4.889	4.836	5.116
NM_008975_15_+_1	5.868	6.544	5.822	7.071	7.115	6.372
NM_001164036_15_+_1	3.947	3.249	2.767	-1.111	-4.906	-0.658
NM_008529_15_+_1	2.181	2.295	2.175	-2.62	-4.908	-1.861
NM_001164038_15_+_1	9.506	9.655	9.623	7.2	6.874	6.052
NM_001164040_15_+_1	8.568	8.634	8.233	4.44	6.425	4.554
NM_001164039_15_+_1	8.872	8.808	9.076	5.85	5.892	4.712
NM_020498_15_-_1	0.151	2.318	2.209	-4.912	-4.912	-1.855
NM_010738_15_-_1	2.216	3.532	3.366	-0.939	-0.788	-2.169
NM_001305668_15_-_1	4.264	3.99	5.029	-0.802	-4.91	-4.909
NM_175391_15_-_1	7.884	7.317	7.249	-4.912	-1.906	0.044
NM_177820_15_-_1	2.192	2.792	2.712	-2.51	-4.912	-4.912
NR_033577_15_+_1	6.583	6.064	5.903	-4.912	0.538	-0.386
NM_001134802_15_+_1	-1.212	-0.516	-2.449	-4.912	-4.912	-3.02
NM_007780_15_+_1	7.129	7.102	6.864	6.112	6.18	6.143
NM_008197_15_+_1	5.871	6.338	6.115	6.733	6.439	6.499
NM_013818_15_+_1	5.904	5.958	5.652	5.075	5.214	5.336
NR_030675_15_-_1	4.302	4.033	3.782	-0.549	-0.266	0.391
NM_030255_15_+_1	7.464	7.237	6.804	-0.776	0.825	-4.908
NM_001160415_15_+_1	0.617	-0.506	1.356	3.866	3.575	3.976
NM_144811_15_-_1	4.104	3.89	4.045	2.427	2.872	2.468
NM_013762_15_-_1	10.117	10.038	9.989	9.598	9.502	9.557
NM_001289442_15_+_1	3.656	4.03	4.048	3.259	2.966	3.29
NM_134095_15_-_1	4.53	4.064	3.973	1.836	2.773	1.646
NM_011889_15_+_1	0.66	0.837	-1.51	4.103	3.446	4.328
NM_008669_15_-_1	6.54	6.29	6.251	7.462	7.217	7.402
NM_001159509_15_-_1	6.002	6.411	5.749	5.447	5.364	5.091
NM_016843_15_+_1	7.637	7.681	7.413	8.034	7.884	8.103
NR_040417_15_-_1	-0.559	-0.4	0.977	-2.986	-2.535	-4.912
NM_021530_15_+_1	5.867	5.466	5.446	3.635	3.462	3.925
NM_028770_15_-_1	3.497	2.867	2.857	2.017	1.431	1.405
NM_001290761_16_-_1	5.593	5.697	5.901	5.128	5.395	5.004
NM_001136066_16_+_1	7.753	7.656	7.82	6.451	6.557	6.358
NM_144852_16_-_1	-2.606	-4.912	-4.912	-1.07	-0.548	-1.577
NM_001001881_16_-_1	0.706	-0.271	0.884	3.439	2.909	2.29
NM_023386_16_+_1	7.749	8.009	7.744	5.987	6.145	6.474
NM_173439_16_-_1	4.538	4.596	4.452	3.791	3.909	4.25
NM_025329_16_+_1	7.509	7.745	7.751	8.267	8.547	8.71
NM_011638_16_+_1	6.371	6.328	6.091	7.708	7.865	7.775
NM_001130485_16_+_1	8.822	8.947	8.934	8.02	8.106	8.431
NM_001039530_16_-_1	5.717	5.958	5.665	4.88	5.02	5.283
NM_019388_16_-_1	6.693	6.647	6.763	7.443	7.407	7.564
NM_024273_16_-_1	1.5	2.259	3.015	3.875	4.343	4.151
NM_019804_16_+_1	4.55	4.748	4.555	3.347	3.407	3.528
NR_002445_16_+_1	4.176	4.117	4.399	7.556	7.732	7.821
NM_021325_16_+_1	5.554	5.523	5.307	3.597	3.539	4.125
NM_008099_16_+_1	-4.912	-0.604	-0.624	3.539	4.223	2.644
NM_001304528_16_-_1	-0.016	0.337	0.405	4.971	4.488	4.181
NM_011173_16_+_1	0.308	0.286	0.803	1.333	2.293	2.377
NM_011434_16_+_1	7.04	7.137	7.315	6.468	6.698	6.476
NM_010846_16_-_1	4.882	4.24	4.698	3.815	3.695	3.087
NM_146073_17_+_1	1.197	1.189	1.828	4.147	3.812	3.942
NR_045079_17_+_1	1.449	-0.868	-0.307	3.183	3.535	3.585
NM_001083945_17_-_1	2.925	3.291	3.364	1.945	2.361	2.09
NM_026611_17_+_1	7.744	7.686	8.011	5.889	6.036	5.981
NM_001098267_17_-_1	-4.912	-4.912	-4.912	-2.986	-2.081	-4.912
NM_026611_dup1_17_-_1	5.471	5.703	6.083	7.233	7.621	7.609
NM_001083938_17_-_1	7.999	8.283	8.516	9.378	9.466	9.402
NM_001190338_17_+_1	4.243	3.051	5.07	6.632	6.423	6.616
NM_009835_17_+_1	4.823	4.466	4.523	3.091	3.404	2.586
NM_018819_17_+_1	8.479	8.659	8.721	7.403	7.791	7.625
NM_001113533_17_-_1	3.976	4.163	3.984	6.067	5.715	5.769
NM_001113532_17_-_1	6.165	6.524	6.238	1.453	4.138	3.526
NM_010806_17_+_1	6.167	6.311	6.326	6.69	6.701	7.196
NM_001123372_17_+_1	2.865	3.333	3.252	1.029	1.167	0.502
NM_013684_17_+_1	5.899	5.897	5.827	5.257	5.298	5.348
NM_023058_17_+_1	5.436	5.352	5.191	4.641	3.925	4.057
NM_013921_17_-_1	6.736	6.549	6.511	5.965	6.078	5.758
NR_037854_17_-_1	8.812	8.519	9.092	7.92	8.145	8.659
NM_001031621_17_-_1	1.297	1.154	1.969	-3.504	-4.912	-3.02
NM_001080128_17_+_1	6.943	6.708	6.672	6.068	5.818	5.697
NM_008503_17_+_1	9.674	9.696	9.743	9.365	9.196	9.076
NM_001012402_17_+_1	-4.912	-4.912	-0.805	4.422	4.184	4.348
NM_029197_17_+_1	-4.912	-4.912	-4.912	2.263	0.305	2.468
NM_024284_17_+_1	6.238	5.944	6.291	6.919	7.195	6.666
NM_001271437_17_-_1	2.996	2.698	3.082	4.467	4.092	4.392
NM_172618_17_-_1	4.373	1.672	4.244	-1.464	-4.082	-1.158
NM_001113560_17_-_1	3.459	3.709	4.717	-4.912	-2.38	-1.162
NM_080727_17_-_1	-4.912	-4.912	-4.912	-0.914	-0.288	-0.189
NR_029458_17_+_1	2.79	2.497	2.328	-0.921	0.377	0.647
NM_024442_17_+_1	9.365	9.187	9.044	8.106	8.238	8.412
NM_172458_17_-_1	5.948	5.922	5.282	4.986	5.128	5.069
NM_152922_17_-_1	1.68	2.193	2.394	3.112	3.531	3.068
